ID,Name,Description,CLTS_BIPA,CLTS_Name
ae_u0061u0065u032F,ae̯,,ae̯,from_unrounded_open_front_to_non-syllabic_unrounded_close-mid_front_diphthong
ao_u0061u006Fu032F,ao̯,,ao̯,from_unrounded_open_front_to_non-syllabic_rounded_close-mid_back_diphthong
oe_u0254u0065u032F,ɔe̯,,ɔe̯,from_rounded_open-mid_back_to_non-syllabic_unrounded_close-mid_front_diphthong
oo_u0254u006Fu032F,ɔo̯,,ɔo̯,from_rounded_open-mid_back_to_non-syllabic_rounded_close-mid_back_diphthong
oj_u006Fu006A,oj,,,
oe_u006Fu0065u032F,oe̯,,oe̯,from_rounded_close-mid_back_to_non-syllabic_unrounded_close-mid_front_diphthong
ow_u006Fu0077,ow,,,
oo_u006Fu006Fu032F,oo̯,,oo̯,from_rounded_close-mid_back_to_non-syllabic_rounded_close-mid_back_diphthong
uj_u0075u006A,uj,,,
e_u0065u0324,e̤,,e̤,breathy_unrounded_close-mid_front_vowel
i_u0069u0303,ĩ,,ĩ,nasalized_unrounded_close_front_vowel
e_u0065u0303,ẽ,,ẽ,nasalized_unrounded_close-mid_front_vowel
a_u0250u0303,ɐ̃,,ɐ̃,nasalized_unrounded_near-open_central_vowel
o_u006Fu0303,õ,,õ,nasalized_rounded_close-mid_back_vowel
u_u0075u0303,ũ,,ũ,nasalized_rounded_close_back_vowel
o_u0275,ɵ,,ɵ,rounded_close-mid_central_vowel
o_u00F8,ø,,ø,rounded_close-mid_front_vowel
a_u0251u0303,ɑ̃,,ɑ̃,nasalized_unrounded_open_back_vowel
y_u0265,ɥ,,ɥ,voiced_labio-palatal_approximant_consonant
w_u0077u0303,w̃,,w̃,nasalized_voiced_labio-velar_approximant_consonant
a_u0061u0303,ã,,ã,nasalized_unrounded_open_front_vowel
ea_u0065u0061,ea,,ea,from_unrounded_close-mid_front_to_unrounded_open_front_diphthong
ea_u0065u0061u02D0,eaː,,eaː,from_unrounded_close-mid_front_to_long_unrounded_open_front_diphthong
eo_u0065u006F,eo,,eo,from_unrounded_close-mid_front_to_rounded_close-mid_back_diphthong
eo_u0065u006Fu02D0,eoː,,eoː,from_unrounded_close-mid_front_to_long_rounded_close-mid_back_diphthong
ea_u0065u0061u0303,eã,,eã,from_unrounded_close-mid_front_to_nasalized_unrounded_open_front_diphthong
oy_u00F8u0079,øy,,øy,from_rounded_close-mid_front_to_rounded_close_front_diphthong
ou_u006Fu0075,ou,,ou,from_rounded_close-mid_back_to_rounded_close_back_diphthong
ae_u0061u0065,ae,,ae,from_unrounded_open_front_to_unrounded_close-mid_front_diphthong
a_u0252,ɒ,,ɒ,rounded_open_back_vowel
ei_u0065u026A,eɪ,,eɪ,from_unrounded_close-mid_front_to_unrounded_near-close_near-front_diphthong
oi_u0254u0069,ɔi,,ɔi,from_rounded_open-mid_back_to_unrounded_close_front_diphthong
u_u0259u028A,əʊ,,əʊ,from_unrounded_mid_central_to_rounded_near-close_near-back_diphthong
e_u0065u0259,eə,,eə,from_unrounded_close-mid_front_to_unrounded_mid_central_diphthong
u_u028Au0259,ʊə,,ʊə,from_rounded_near-close_near-back_to_unrounded_mid_central_diphthong
c_u0255,ɕ,,ɕ,voiceless_alveolo-palatal_sibilant_fricative_consonant
z_u0291,ʑ,,ʑ,voiced_alveolo-palatal_sibilant_fricative_consonant
tc_u0074u0255,tɕ,,tɕ,voiceless_alveolo-palatal_sibilant_affricate_consonant
dz_u0064u0291,dʑ,,dʑ,voiced_alveolo-palatal_sibilant_affricate_consonant
u_u0264,ɤ,,ɤ,unrounded_close-mid_back_vowel
tsh_u0074u0283u02B0,tʃʰ,,tʃʰ,aspirated_voiceless_post-alveolar_sibilant_affricate_consonant
m_u006Du0325,m̥,,m̥,devoiced_voiced_bilabial_nasal_consonant
n_u006Eu0325,n̥,,n̥,devoiced_voiced_alveolar_nasal_consonant
n_u0272u0325,ɲ̥,,ɲ̊,devoiced_voiced_palatal_nasal_consonant
ng_u014Bu030A,ŋ̊,,ŋ̊,devoiced_voiced_velar_nasal_consonant
sh_u0073u02B0,sʰ,,sʰ,aspirated_voiceless_alveolar_sibilant_fricative_consonant
w_u028D,ʍ,,ʍ,voiceless_labio-velar_approximant_consonant
l_u026C,ɬ,,ɬ,voiceless_alveolar_lateral_fricative_consonant
ou_u006Fu028A,oʊ,,oʊ,from_rounded_close-mid_back_to_rounded_near-close_near-back_diphthong
i_u026Au0303,ɪ̃,,ɪ̃,nasalized_unrounded_near-close_near-front_vowel
u_u028Au0303,ʊ̃,,ʊ̃,nasalized_rounded_near-close_near-back_vowel
ei_u0065u026Au0303,eɪ̃,,eɪ̃,from_unrounded_close-mid_front_to_nasalized_unrounded_near-close_near-front_diphthong
ai_u0061u026Au0303,aɪ̃,,aɪ̃,from_unrounded_open_front_to_nasalized_unrounded_near-close_near-front_diphthong
au_u0061u028Au0303,aʊ̃,,aʊ̃,from_unrounded_open_front_to_nasalized_rounded_near-close_near-back_diphthong
ou_u006Fu028Au0303,oʊ̃,,oʊ̃,from_rounded_close-mid_back_to_nasalized_rounded_near-close_near-back_diphthong
tc_u0074u0063u0327,tç,,,
dj_u0064u029D,dʝ,,,
y_u0079u0303,ỹ,,ỹ,nasalized_rounded_close_front_vowel
jj_u025Fu029D,ɟʝ,,ɟʝ,voiced_palatal_affricate_consonant
je_u006Au0065,je,,,
ja_u006Au0061,ja,,,
jo_u006Au006F,jo,,,
ju_u006Au0075,ju,,,
wi_u0077u0069,wi,,,
we_u0077u0065,we,,,
wa_u0077u0061,wa,,,
wo_u0077u006F,wo,,,
tj_u0074u02B2,tʲ,,tʲ,palatalized_voiceless_alveolar_stop_consonant
n_u006Eu032A,n̪,,n̪,voiced_dental_nasal_consonant
nj_u006Eu02B2,nʲ,,nʲ,palatalized_voiced_alveolar_nasal_consonant
pm_u0070u006D,pm,,,
tn_u1D57u032Au006Eu032A,ᵗ̪n̪,,,
tjnj_u0074u02B2u006Eu02B2,tʲnʲ,,,
tn_u1D57u006E,ᵗn,,,
tn_u0288u0273,ʈɳ,,,
kng_u006Bu014B,kŋ,,,
l_u006Cu032A,l̪,,l̪,voiced_dental_lateral_approximant_consonant
lj_u006Cu02B2,lʲ,,lʲ,palatalized_voiced_alveolar_lateral_approximant_consonant
w_u0270,ɰ,,ɰ,voiced_velar_approximant_consonant
pw_u0070u02B7,pʷ,,pʷ,labialized_voiceless_bilabial_stop_consonant
tw_u0074u032Au02B7,t̪ʷ,,t̪ʷ,labialized_voiceless_dental_stop_consonant
lw_u006Cu032Au02B7,l̪ʷ,,l̪ʷ,labialized_voiced_dental_lateral_approximant_consonant
tjw_u0074u02B2u02B7,tʲʷ,,tʲʷ,palatalized_labialized_voiceless_alveolar_stop_consonant
njw_u006Eu02B2u02B7,nʲʷ,,nʲʷ,palatalized_labialized_voiced_alveolar_nasal_consonant
ljw_u006Cu02B2u02B7,lʲʷ,,lʲʷ,palatalized_labialized_voiced_alveolar_lateral_approximant_consonant
jw_u006Au02B7,jʷ,,jʷ,labialized_voiced_palatal_approximant_consonant
tw_u0074u02B7,tʷ,,tʷ,labialized_voiceless_alveolar_stop_consonant
nw_u006Eu02B7,nʷ,,nʷ,labialized_voiced_alveolar_nasal_consonant
tnw_u1D57u006Eu02B7,ᵗnʷ,,,
lw_u006Cu02B7,lʷ,,lʷ,labialized_voiced_alveolar_lateral_approximant_consonant
rw_u027Eu02B7,ɾʷ,,ɾʷ,labialized_voiced_alveolar_tap_consonant
tw_u0288u02B7,ʈʷ,,ʈʷ,labialized_voiceless_retroflex_stop_consonant
nw_u0273u02B7,ɳʷ,,ɳʷ,labialized_voiced_retroflex_nasal_consonant
tnw_u0288u0273u02B7,ʈɳʷ,,,
lw_u026Du02B7,ɭʷ,,ɭʷ,labialized_voiced_retroflex_lateral_approximant_consonant
rw_u027Bu02B7,ɻʷ,,ɻʷ,labialized_voiced_retroflex_approximant_consonant
kngw_u006Bu014Bu02B7,kŋʷ,,,
p_u0070u003A,p:,,pː,long_voiceless_bilabial_stop_consonant
b_u0062u003A,b:,,bː,long_voiced_bilabial_stop_consonant
t_u0074u032Au003A,t̪:,,t̪ː,long_voiceless_dental_stop_consonant
d_u0064u003A,d:,,dː,long_voiced_alveolar_stop_consonant
dz_u0064u003Au0292,d:ʒ,,,
k_u006Bu003A,k:,,kː,long_voiceless_velar_stop_consonant
g_u0067u003A,g:,,gː,long_voiced_velar_stop_consonant
m_u006Du003A,m:,,mː,long_voiced_bilabial_nasal_consonant
n_u006Eu003A,n:,,nː,long_voiced_alveolar_nasal_consonant
ng_u014Bu003A,ŋ:,,ŋː,long_voiced_velar_nasal_consonant
s_u0073u003A,s:,,sː,long_voiceless_alveolar_sibilant_fricative_consonant
j_u006Au003A,j:,,jː,long_voiced_palatal_approximant_consonant
l_u006Cu003A,l:,,lː,long_voiced_alveolar_lateral_approximant_consonant
i_u0069u003A,i:,,iː,long_unrounded_close_front_vowel
ng_u006Eu0067,ng,,ng,from_voiced_alveolar_nasal_to_voiced_velar_stop_cluster
z_u0290,ʐ,,ʐ,voiced_retroflex_sibilant_fricative_consonant
j_u006Au0303,j̃,,j̃,nasalized_voiced_palatal_approximant_consonant
w_u026Fu0303,ɯ̃,,ɯ̃,nasalized_unrounded_close_back_vowel
l_u026Cu02D0,ɬː,,ɬː,long_voiceless_alveolar_lateral_fricative_consonant
i_u0069u02D1,iˑ,,iˑ,mid-long_unrounded_close_front_vowel
a_u0061u02D1,aˑ,,aˑ,mid-long_unrounded_open_front_vowel
o_u006Fu02D1,oˑ,,oˑ,mid-long_rounded_close-mid_back_vowel
i_u0069u0303u02D0,ĩː,,ĩː,long_nasalized_unrounded_close_front_vowel
a_u0061u0303u02D0,ãː,,ãː,long_nasalized_unrounded_open_front_vowel
o_u006Fu0303u02D0,õː,,õː,long_nasalized_rounded_close-mid_back_vowel
kwh_u006Bu02B7u02B0,kʷʰ,,kʷʰ,labialized_aspirated_voiceless_velar_stop_consonant
tsh_u0074u0073u02B0,tsʰ,,tsʰ,aspirated_voiceless_alveolar_sibilant_affricate_consonant
o_u0275u02D0,ɵː,,ɵː,long_rounded_close-mid_central_vowel
